Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
5.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
6.0,7.0,7.0,15.0,7.0,15.0,1.0,15.0,7.0,4.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
7.0,12.0,12.0,7.0,7.0,12.0,14.0,3.0,1.0,12.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
11.0,11.0,8.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0
4.0,4.0,4.0,4.0,4.0,4.0,9.0,4.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
17.0,17.0,18.0,18.0,20.0,17.0,18.0,18.0,17.0,18.0
9.0,9.0,12.0,9.0,18.0,18.0,9.0,5.0,18.0,6.0
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2.0,2.0,8.0,2.0,2.0,6.0,6.0,2.0,14.0,6.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
11.0,8.0,0.0,0.0,11.0,0.0,1.0,1.0,4.0,1.0
13.0,9.0,2.0,13.0,6.0,9.0,6.0,13.0,6.0,13.0
5.0,1.0,1.0,1.0,19.0,1.0,1.0,19.0,1.0,19.0
12.0,2.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0
14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
