CPU_P1,CPU_P2,CPU_P3,CPU_P4,GPU_P1,GPU_P2,GPU_P3,GPU_P4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,18.0,2.0,2.0,2.0,18.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
4.0,4.0,18.0,4.0,4.0,4.0,18.0,4.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6.0,6.0,19.0,6.0,6.0,6.0,19.0,6.0
7.0,7.0,18.0,7.0,7.0,7.0,18.0,7.0
8.0,8.0,18.0,8.0,8.0,8.0,18.0,8.0
9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
10.0,10.0,18.0,10.0,10.0,10.0,18.0,10.0
11.0,11.0,18.0,11.0,11.0,11.0,18.0,11.0
12.0,12.0,19.0,12.0,12.0,12.0,19.0,12.0
1.0,13.0,18.0,13.0,1.0,13.0,18.0,13.0
14.0,14.0,18.0,14.0,14.0,14.0,18.0,14.0
1.0,15.0,18.0,15.0,1.0,15.0,18.0,15.0
1.0,16.0,19.0,16.0,1.0,16.0,19.0,16.0
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
1.0,18.0,18.0,18.0,1.0,18.0,18.0,18.0
1.0,19.0,19.0,19.0,1.0,19.0,19.0,19.0
1.0,20.0,20.0,20.0,1.0,20.0,20.0,20.0
